date,temperature,humidity,luminosity
2022-11-17 15:46:34.367,25.1,37.7,1089
2022-11-17 15:46:29.336,25.1,37.2,1067
2022-11-17 15:46:24.304,25.1,36.8,1091
2022-11-17 15:46:19.275,25.1,36.8,1094
2022-11-17 15:46:14.245,25.1,36.8,1091
2022-11-17 15:46:09.214,25.0,36.8,867
2022-11-17 15:46:04.184,25.1,36.8,869
2022-11-17 15:45:59.153,25.1,36.8,871
2022-11-17 15:45:54.122,25.1,36.8,869
2022-11-17 15:45:49.092,25.1,36.8,872
2022-11-17 15:45:44.061,25.1,36.8,872
2022-11-17 15:45:39.030,25.1,36.8,870
2022-11-17 15:45:34.000,25.1,36.8,872
2022-11-17 15:45:28.969,25.1,36.7,874
2022-11-17 15:45:23.939,25.1,36.6,872
2022-11-17 15:45:18.909,25.1,36.5,871
2022-11-17 15:45:13.879,25.1,36.6,859
2022-11-17 15:45:08.849,25.1,36.6,239
2022-11-17 15:45:03.819,25.1,36.6,869
2022-11-17 15:44:58.789,25.2,36.7,860
2022-11-17 15:44:53.759,25.2,36.7,862
2022-11-17 15:44:48.728,25.1,36.7,850
2022-11-17 15:44:43.697,25.1,36.7,869
2022-11-17 15:44:38.667,25.1,36.7,870
2022-11-17 15:44:33.637,25.1,36.7,757
2022-11-17 15:44:28.606,25.2,36.8,848
2022-11-17 15:44:23.576,25.2,36.8,849
2022-11-17 15:44:18.545,25.2,36.7,852
2022-11-17 15:44:13.514,25.2,36.8,856
2022-11-17 15:44:08.483,25.1,36.8,859
2022-11-17 15:44:03.453,25.1,36.8,836
2022-11-17 15:43:58.422,25.1,36.8,838
2022-11-17 15:43:53.391,25.1,36.9,829
2022-11-17 15:43:48.361,25.1,36.9,1012
2022-11-17 15:43:43.332,25.2,36.9,1018
2022-11-17 15:43:38.302,25.1,36.9,1010
2022-11-17 15:43:33.271,25.1,36.9,988
2022-11-17 15:43:28.241,25.1,36.9,1012
2022-11-17 15:43:23.212,25.1,37.0,1017
2022-11-17 15:43:18.182,25.1,36.9,1019
2022-11-17 15:43:13.151,25.1,36.8,1016
2022-11-17 15:43:08.121,25.0,36.6,1017
2022-11-17 15:43:03.091,25.1,36.6,1018
2022-11-17 15:42:58.061,25.1,36.6,1015
2022-11-17 15:42:53.030,25.1,36.6,1019
2022-11-17 15:42:47.999,25.1,36.5,959
2022-11-17 15:42:42.968,25.1,36.6,1024
2022-11-17 15:42:37.938,25.1,36.5,1021
2022-11-17 15:42:32.907,25.2,36.6,1019
2022-11-17 15:42:27.877,25.1,36.6,1024
2022-11-17 15:42:22.847,25.1,36.7,1023
2022-11-17 15:42:17.816,25.2,36.5,994
2022-11-17 15:42:12.785,25.1,36.7,1040
2022-11-17 15:42:07.755,25.2,36.7,1030
2022-11-17 15:42:02.724,25.1,36.7,1071
